milliseconds,x,y,z,acceleration
459,-0.05419922,-0.015411377,-0.008682251,0.057012696
659,-0.23127747,-0.016021729,-0.023864746,0.22735557
859,-0.9197998,0.021499634,-0.07299805,0.8945055
1060,-1.3342285,0.034194946,-0.039474487,1.2173629
1259,-1.3121033,0.056503296,-0.0960083,1.0772003
1459,-1.1473083,0.013824463,-0.13659668,0.80815023
1660,-0.67471313,-0.0020446777,-0.12783813,0.25856137
1860,-0.22531128,0.010772705,0.029266357,-0.22655559
2060,0.2480774,-0.05558777,0.08682251,-0.16271357
2260,1.0214233,-0.044662476,0.10520935,0.61271036
2459,1.6614075,0.0047454834,0.079696655,1.1869656
2659,1.3822479,0.044769287,0.17056274,0.7983953
2860,0.9029846,0.13557434,0.20735168,0.26145756
3060,0.32055664,-0.0048217773,0.08328247,-0.36980718
3260,-0.14311218,-0.06800842,-0.021621704,-0.5041423
3460,-0.4930725,-0.0042877197,-0.09010315,-0.11239004
3660,-1.4359131,-0.03590393,-0.17500305,0.8445767
3860,-1.4727631,-0.03387451,-0.12960815,0.7919784
4060,-1.0526886,0.009765625,-0.14378357,0.29644507
4258,-0.809906,0.009689331,-0.110458374,0.021754056
4458,-0.17149353,-0.1802826,0.02355957,-0.5479487
4660,0.36732483,0.2046051,0.062927246,-0.31793988
4861,1.2310181,-0.043167114,0.05178833,0.52156925
5059,1.4841919,-0.037612915,0.06326294,0.72256494
5261,1.2041473,0.07897949,0.16542053,0.38231272
5458,0.6503601,0.15647888,0.17124939,-0.18344566
5659,0.09169006,0.07272339,0.076431274,-0.7158173
5858,-0.12458801,-0.049346924,-0.011657715,-0.6495012
6059,-0.52497864,-0.056610107,-0.08004761,-0.18500686
6262,-1.2287598,-0.066589355,-0.15348816,0.5395368
6458,-1.4566803,-0.019958496,-0.19075012,0.71473694
6659,-1.046051,0.016418457,-0.14724731,0.2305026
6863,-0.3620758,-0.082611084,-0.06321716,-0.47231644
7058,0.017791748,0.1224823,0.038772583,-0.67210865
7259,0.9234772,-0.057281494,0.08641052,0.1946817
7458,1.3451233,-0.01737976,0.10784912,0.5954872
7657,1.446579,0.025039673,0.10507202,0.63699263
7860,1.1691132,0.030593872,0.14620972,0.30130458
8059,0.48168945,0.035964966,0.10575867,-0.4129707
8257,-0.067718506,0.032913208,0.03855896,-0.7815538